City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
3,Labuan,MY,77.36,light rain,5.2767,115.2417,Tiara Labuan Hotel
7,Atuona,PF,77.68,few clouds,-9.8,-139.0333,Villa Enata
9,Kapaa,US,72.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Jambi,ID,75.38,scattered clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
17,Tutubigan,PH,75.4,light rain,11.8397,125.0614,REMART LANG MALAKAS
19,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
21,Casper,US,72.72,overcast clouds,42.8666,-106.3131,Ramkota Hotel
22,Dingle,PH,73.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
25,Nyuksenitsa,RU,75.2,overcast clouds,60.4128,44.2397,Sukhona Hotel
26,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
28,Rikitea,PF,74.73,clear sky,-23.1203,-134.9692,People ThankYou
29,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
36,Hilo,US,71.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Faanui,PF,78.53,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Makat,KZ,75.87,clear sky,47.6469,53.3463,Umit
50,Vaals,NL,74.16,broken clouds,50.7708,6.0181,Bloemendal Castle
63,Mwinilunga,ZM,76.77,few clouds,-11.7358,24.4293,Kwakuwahi Lodge
64,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
67,Oktyabrskoye,RU,78.94,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
72,Joao Pinheiro,BR,78.19,clear sky,-17.7425,-46.1725,Hotel Santos
85,Bereda,ES,74.41,clear sky,43.2686,-7.5406,Pazo de Verdes
90,Lumut,MY,78.82,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
93,Sibolga,ID,78.66,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
99,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
102,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
106,Jamestown,US,73.53,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
109,Bengkulu,ID,79.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
123,Allapalli,IN,78.4,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
126,Pangai,TO,75.54,light rain,-19.8,-174.35,Ha'apai Beach Resort
128,Alofi,NU,74.68,overcast clouds,-19.0595,-169.9187,Taloa Heights
141,Visby,SE,70.05,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
156,Bojnurd,IR,77.13,clear sky,37.4747,57.329,Hotel negin bojnourd
157,Bangad,PH,77.79,overcast clouds,15.5036,121.0275,Hunter Valley Resort and Hotel
162,Namwala,ZM,75.69,few clouds,-15.7504,26.4384,Corner Point Lodge
163,Manta,EC,74.1,overcast clouds,-0.95,-80.7333,Balandra Hotel
167,Shingu,JP,75.2,clear sky,33.7333,135.9833,Shingu UI Hotel
168,Nikolskoye,RU,72.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
177,Majdanpek,RS,79.02,few clouds,44.4277,21.946,HOTEL GOLDEN INN
178,Lubango,AO,74.25,clear sky,-14.9172,13.4925,Hotel Serra da Chela
179,Baiquan,CN,71.1,moderate rain,47.5833,126.0833,Wenxin Home Leisure Express Hotel
189,Ayagoz,KZ,71.06,scattered clouds,47.9714,80.4392,ХАН
190,Padang,ID,79.29,scattered clouds,-0.9492,100.3543,Mercure Padang
195,Beauchamps,FR,71.31,broken clouds,50.012,1.5176,GITES SINGING BIRD
201,Boyolangu,ID,74.88,overcast clouds,-8.1181,111.8935,Yos ega cv
203,Baraboo,US,75.34,overcast clouds,43.4711,-89.7443,Thunderbird Motor Inn
206,Hobyo,SO,77.85,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
212,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
217,Rumboci,BA,76.57,clear sky,43.8322,17.5011,Mediteran B&B
218,Omboue,GA,75.94,broken clouds,-1.5746,9.2618,Hotel Olako
221,Nchelenge,ZM,75.16,few clouds,-9.3451,28.734,KD Travellers Home
222,Port Moresby,PG,76.14,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
224,Qostanay,KZ,70.09,broken clouds,53.1667,63.5833,Hotel Fessla
227,Axim,GH,79.59,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
234,Vazante,BR,78.31,clear sky,-17.9869,-46.9078,Hotel Pousada e Restaurante
235,Miles City,US,74.37,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
237,Steinbach,DE,77.61,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
243,Sivas,TR,75.83,few clouds,39.7916,37.0019,Sivas Sultan Otel
244,Yatou,CN,75.52,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
246,Naze,JP,77.34,overcast clouds,28.3667,129.4833,Shishime Hotel
248,Biak,ID,75.92,overcast clouds,-0.9131,122.8766,Penginapan Kim
251,Griffith,US,79.39,broken clouds,41.5284,-87.4237,Apartment above Depot Bar
263,Neiafu,TO,77.31,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
265,Imeni Poliny Osipenko,RU,73.22,scattered clouds,52.4201,136.4853,Yubileynaya
266,Shishou,CN,78.75,clear sky,29.7226,112.419,Chuyuan Hotel
268,Phetchabun,TH,79.2,moderate rain,16.25,101.0833,วินธนา รีสอร์ท
271,Ende,ID,70.92,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
273,Utete,TZ,78.66,few clouds,-7.986,38.758,River View Lodge
277,Salug,PH,78.62,overcast clouds,8.1147,122.7833,Jesser's House
282,Mogadishu,SO,77.27,scattered clouds,2.0371,45.3438,Hotel Juba
284,Kieta,PG,78.53,light rain,-6.2167,155.6333,Uruna Bay Retreat
289,Lugovoy,KZ,74.86,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
291,Sao Filipe,CV,76.84,scattered clouds,14.8961,-24.4956,Hotel Xaguate
294,Monster,NL,70.99,overcast clouds,52.0258,4.175,Roompot Kijkduin
296,Kholm-Zhirkovskiy,RU,74.01,light rain,55.5189,33.4731,Gostinitsa Kholm
301,Caravelas,BR,76.46,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
306,Morondava,MG,74.77,clear sky,-20.2833,44.2833,La Case Bambou
307,Komatipoort,ZA,73.24,clear sky,-25.4332,31.9548,Kruger View Backpackers
308,Arona,ES,78.91,few clouds,28.0996,-16.681,Paradise Court
311,Bridlington,GB,70.9,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
316,Quang Ngai,VN,78.44,light rain,15.1167,108.8,Central Hotel
322,Vechelde,DE,71.8,clear sky,52.2604,10.3649,Hotel Dornberg
326,Praia Da Vitoria,PT,72.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
330,Vinces,EC,78.26,broken clouds,-1.55,-79.7333,Rizz hotel
333,Nouadhibou,MR,73.09,clear sky,20.931,-17.0347,El Medina
338,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
345,Sangmelima,CM,75.4,moderate rain,2.9333,11.9833,gamestar hotel
346,Fereydunshahr,IR,77.97,few clouds,32.941,50.121,موسسه آسمان پرواز پرتیکان
349,Makakilo City,US,73.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
351,Ponta Delgada,PT,75.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
352,Prado,BR,73.89,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
354,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
357,Voh,NC,73.26,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
359,Nampa,US,75.36,clear sky,43.5407,-116.5635,Nampa Downtown
364,Burglengenfeld,DE,78.55,scattered clouds,49.2056,12.0414,Jayson & Co
366,Pangkalanbuun,ID,75.45,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
368,Mitchell,US,76.98,broken clouds,43.7094,-98.0298,Kelly Inn & Suites
374,Torbay,CA,74.88,overcast clouds,47.6666,-52.7314,Gallows Cove
378,Bismarck,US,74.64,overcast clouds,46.8083,-100.7837,Bismarck Hotel and Conference Center
380,Tingo Maria,PE,79.11,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
381,Xiaoweizhai,CN,71.53,clear sky,26.1903,107.5125,Karst Youth Hostel
387,Las Palmas,ES,72.39,few clouds,28.4204,-14.0131,Casillas De Morales 59.
388,Kasempa,ZM,76.24,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
389,Mana,GF,75.65,overcast clouds,5.6592,-53.7767,LE SAMANA
396,Xichang,CN,70.14,clear sky,27.8964,102.2634,Xichang ibis Hotel
401,Ahuimanu,US,74.91,clear sky,21.4447,-157.8378,Paradise Bay Resort
405,Mengyin,CN,74.17,overcast clouds,35.7069,117.9264,Jinmengyuan Hotel
408,Slobodskoy,RU,74.21,overcast clouds,58.7322,50.1772,Victoria Village
410,Lira,UG,76.51,overcast clouds,2.235,32.9097,ST Lira Hotel Limited
412,Bang Saphan,TH,78.28,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
414,Piacabucu,BR,76.55,light rain,-10.4056,-36.4344,Piaçabuçu News
416,Razole,IN,79.07,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
422,Belmonte,BR,78.73,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
429,Pak Phanang,TH,79.72,overcast clouds,8.3511,100.202,Green Park Inn Hotel
436,Erenhot,CN,77.52,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
437,Qingdao,CN,75.92,overcast clouds,36.0986,120.3719,Le Meridien Qingdao
438,Barabai,ID,73.6,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
440,Aguimes,ES,76.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
441,Evanston,US,74.52,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
442,Morki,RU,74.64,overcast clouds,56.4303,48.9947,Posutochno Kvartira
445,Farcasa,RO,71.15,broken clouds,47.5833,23.3333,Pensiunea Casa Doamnei
447,Zemio,CF,77.02,light rain,5.0314,25.1361,OCHA Office
448,Ankazoabo,MG,71.56,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
452,Zeya,RU,70.12,moderate rain,53.75,127.2667,Kapital Inn
453,Itapetininga,BR,74.79,overcast clouds,-23.5917,-48.0531,Hotel Poloni
