City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,RU,64.3833,-173.3,47.19,91,100,2.53,overcast clouds
1,Mahebourg,MU,-20.4081,57.7,70.09,60,75,11.5,broken clouds
2,Kavaratti,IN,10.5669,72.642,81.77,83,99,17.16,overcast clouds
3,Labuan,MY,5.2767,115.2417,77.36,94,20,2.3,light rain
4,Shelburne,CA,44.0787,-80.2041,63.23,80,100,7.02,overcast clouds
5,Saint George,US,37.1041,-113.5841,84.43,24,0,10.36,clear sky
6,Castro,BR,-24.7911,-50.0119,69.46,42,100,6.69,overcast clouds
7,Atuona,PF,-9.8,-139.0333,77.68,72,21,24.07,few clouds
8,Maniitsoq,GL,65.4167,-52.9,40.42,97,100,8.37,light rain
9,Kapaa,US,22.0752,-159.319,72.12,87,100,11.36,overcast clouds
10,Jambi,ID,-1.6,103.6167,75.38,96,25,1.63,scattered clouds
11,Kutum,SD,14.2,24.6667,91.17,16,0,3.02,clear sky
12,High Level,CA,58.5169,-117.136,59.11,77,20,4.61,few clouds
13,Mataura,NZ,-46.1927,168.8643,40.33,88,90,2.51,overcast clouds
14,San Antonio,US,29.4241,-98.4936,87.91,66,75,1.01,broken clouds
15,Lebu,CL,-37.6167,-73.65,48.27,72,100,16.06,overcast clouds
16,Port Alfred,ZA,-33.5906,26.891,63.18,84,38,3.0,scattered clouds
17,Tutubigan,PH,11.8397,125.0614,75.4,95,81,0.51,light rain
18,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,65,0,9.22,clear sky
19,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,75,11.5,broken clouds
20,Bluff,NZ,-46.6,168.3333,48.16,67,99,7.2,overcast clouds
21,Casper,US,42.8666,-106.3131,72.72,64,100,4.92,overcast clouds
22,Dingle,PH,10.9995,122.6711,73.11,96,100,4.54,overcast clouds
23,Tiksi,RU,71.6872,128.8694,34.52,92,62,3.38,broken clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,47.08,100,100,9.22,fog
25,Nyuksenitsa,RU,60.4128,44.2397,75.2,64,88,5.01,overcast clouds
26,Ponta Do Sol,PT,32.6667,-17.1,77.72,61,0,2.28,clear sky
27,Ancud,CL,-41.8697,-73.8203,42.22,80,54,21.39,light rain
28,Rikitea,PF,-23.1203,-134.9692,74.73,76,3,19.37,clear sky
29,Vaini,TO,-21.2,-175.2,71.76,83,75,8.05,broken clouds
30,Najran,SA,17.4924,44.1277,97.45,13,100,9.62,overcast clouds
31,Hermanus,ZA,-34.4187,19.2345,61.81,66,4,6.22,clear sky
32,Norman Wells,CA,65.282,-126.8329,64.44,59,40,4.61,smoke
33,New Norfolk,AU,-42.7826,147.0587,49.71,80,81,2.53,broken clouds
34,Cape Town,ZA,-33.9258,18.4232,62.11,69,20,12.66,few clouds
35,North Bay,CA,46.3168,-79.4663,64.94,82,75,9.22,broken clouds
36,Hilo,US,19.7297,-155.09,71.26,97,83,1.99,broken clouds
37,Faanui,PF,-16.4833,-151.75,78.53,70,11,11.07,few clouds
38,Mosquera,CO,4.7059,-74.2302,57.29,72,75,6.91,broken clouds
39,Gold Coast,AU,-28.0,153.4333,57.27,87,75,8.05,broken clouds
40,Ushuaia,AR,-54.8,-68.3,26.26,80,0,6.91,clear sky
41,Hobart,AU,-42.8794,147.3294,50.05,84,33,6.06,scattered clouds
42,Saint-Georges,GD,12.0564,-61.7485,82.06,77,100,16.62,overcast clouds
43,Punta Arenas,CL,-53.15,-70.9167,28.51,93,20,6.91,few clouds
44,Makat,KZ,47.6469,53.3463,75.87,34,6,20.24,clear sky
45,Carnarvon,AU,-24.8667,113.6333,67.3,32,0,9.95,clear sky
46,Codrington,AU,-38.2667,141.9667,47.3,84,60,8.75,broken clouds
47,Port Keats,AU,-14.25,129.55,62.69,46,0,7.99,clear sky
